Date,Region,Product,Category,Units Sold,Unit Price,Total Sales,Profit Margin (%)
2024-03-31,North,Laptop,Elec,52.30769230769231,549.29,26096.32307692308,8.0
2024-04-06,West,Laptop,Elec,52.30769230769231,345.7,35973.0,9.804878048780488
2024-02-13,East,Monitor,Gadgets,52.30769230769231,571.21,48206.0,10.0
2024-03-23,North,Tablet,Electronics,52.30769230769231,570.3362222222222,26096.32307692308,10.0
2024-02-28,East,Laptop,Gadget,52.30769230769231,731.61,26096.32307692308,8.0
2024-02-05,North,Desktop,Electronics,52.30769230769231,790.55,26096.32307692308,8.0
2024-04-02,North,Tablet,Elec,45.0,570.3362222222222,26096.32307692308,9.804878048780488
2024-03-29,South,Phone,Electronics,52.30769230769231,852.88,22357.0,12.0
2024-03-05,North,Phone,Gadget,52.30769230769231,818.68,26096.32307692308,9.804878048780488
2024-01-06,North,Tablet,Elec,52.30769230769231,870.42,26096.32307692308,8.0
2024-03-15,North,Tablet,Elec,52.30769230769231,570.3362222222222,23607.0,10.0
